#Datasets,b1matches,b2matches,s1matches,s2matches
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cyclobacteriaceae;",0.0,1726.0,1836.0,1744.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;",5834.0,4603.0,6891.0,6572.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Emticicia;",394.0,1555.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Emticicia;Emticicia sp. TH156;",3237.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Ohtaekwangia;Ohtaekwangia koreensis;",0.0,1723.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Runella;",0.0,0.0,2650.0,2612.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;",0.0,1840.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Cytophagia;Cytophagales;Hymenobacteraceae;",1776.0,2150.0,2051.0,2006.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;",828.0,964.0,509.0,471.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;",2418.0,3178.0,3987.0,3655.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;",565.0,866.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;",821.0,1155.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola;Fluviicola taffensis;",7524.0,12397.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;",8008.0,11091.0,10968.0,10376.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;",1576.0,2112.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Cloacibacterium;Cloacibacterium normanense;",1612.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium;",2570.0,3417.0,4377.0,4019.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Saprospiria;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Saprospiria;Saprospirales;",0.0,0.0,1579.0,1391.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;",0.0,0.0,236.0,207.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Saprospiria;Saprospirales;Haliscomenobacteraceae;Haliscomenobacter;Haliscomenobacter hydrossis;",0.0,0.0,3660.0,3465.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;",155.0,184.0,566.0,542.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;",1752.0,295.0,698.0,624.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;",3445.0,4456.0,4017.0,3842.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;",0.0,0.0,1736.0,1639.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;unclassified Sphingobacteriaceae;",4.0,5.0,4.0,7.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;unclassified Sphingobacteriaceae;Sphingobacteriaceae bacterium;",4685.0,4184.0,2597.0,2459.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unclassified Sphingobacteriales;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unclassified Sphingobacteriales;unclassified Sphingobacteriales (miscellaneous);",0.0,2012.0,3763.0,3324.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;unclassified Sphingobacteriales;unclassified Sphingobacteriales (miscellaneous);Sphingobacteriales bacterium 12-47-4;",0.0,0.0,3558.0,3042.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;unclassified Bacteroidetes;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;unclassified Bacteroidetes;unclassified Bacteroidetes (miscellaneous);",5694.0,6263.0,8188.0,7961.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;unclassified Bacteroidetes;unclassified Bacteroidetes (miscellaneous);Bacteroidetes bacterium OLB10;",1676.0,2458.0,9374.0,8111.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;unclassified Bacteroidetes;unclassified Bacteroidetes (miscellaneous);Bacteroidetes bacterium OLB12;",14768.0,18449.0,15774.0,14471.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;unclassified Bacteroidetes;unclassified Bacteroidetes (miscellaneous);Bacteroidetes bacterium RIFCSPLOWO2_12_FULL_35_15;",2878.0,2495.0,3118.0,3095.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;",536.0,462.0,39.0,32.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;",0.0,0.0,1090.0,1082.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobaculum;",0.0,0.0,2066.0,1913.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;unclassified Chlorobi;",100.0,94.0,176.0,147.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;unclassified Chlorobi;Chlorobi bacterium OLB5;",1705.0,2441.0,5684.0,5415.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Chlorobi;unclassified Chlorobi;Chlorobi bacterium OLB7;",12647.0,6166.0,21921.0,19999.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;",0.0,1578.0,522.0,578.0
"root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Ignavibacteriae;Ignavibacteria;",0.0,0.0,2432.0,2437.0
"root;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;",2710.0,1635.0,2700.0,2915.0
"root;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;Gemmatimonadetes <class>;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;Gemmatimonadetes <class>;Gemmatimonadales;",0.0,0.0,4.0,6.0
"root;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;Gemmatimonadetes <class>;Gemmatimonadales;Gemmatimonadaceae;",0.0,0.0,2172.0,2327.0
"root;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;unclassified Gemmatimonadetes;",3379.0,2315.0,6012.0,6017.0
"root;cellular organisms;Bacteria;FCB group;Gemmatimonadetes;unclassified Gemmatimonadetes;Gemmatimonadetes bacterium SCN 70-22;",0.0,0.0,1656.0,1803.0
"root;cellular organisms;Bacteria;Nitrospirae;",4724.0,4549.0,15481.0,16500.0
"root;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;",89.0,104.0,189.0,189.0
"root;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;Nitrospirales;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;Nitrospirales;Nitrospiraceae;",298.0,311.0,302.0,303.0
"root;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;Nitrospirales;Nitrospiraceae;Nitrospira;",15780.0,14248.0,70249.0,70990.0
"root;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira japonica;",1988.0,2121.0,8847.0,9403.0
"root;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira moscoviensis;",0.0,0.0,2433.0,2417.0
"root;cellular organisms;Bacteria;Nitrospirae;Nitrospira <class>;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira sp. SG-bin1;",0.0,0.0,2151.0,1987.0
"root;cellular organisms;Bacteria;Nitrospirae;unclassified Nitrospirae;",0.0,0.0,1626.0,1616.0
"root;cellular organisms;Bacteria;Proteobacteria;",166848.0,183347.0,153029.0,149089.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;",83556.0,90383.0,58409.0,55610.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;",3086.0,2005.0,1114.0,1007.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;",5955.0,3573.0,4021.0,3770.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;",1871.0,1876.0,1370.0,1251.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;Brevundimonas aveniformis;",2117.0,2633.0,3586.0,3457.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;",8495.0,4697.0,3349.0,3176.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter;Caulobacter mirabilis;",4753.0,2328.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium;",2028.0,1603.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;unclassified Caulobacteraceae;",13.0,15.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;unclassified Caulobacteraceae;Caulobacteraceae bacterium OTSz_A_272;",2654.0,3039.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Holosporales;",0.0,1824.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;",27431.0,30773.0,19637.0,18788.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;",7558.0,7440.0,5540.0,5233.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium;",11671.0,12224.0,6668.0,6519.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;",3210.0,3385.0,4050.0,3720.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;",6494.0,6131.0,10546.0,9287.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium sp.;",1536.0,2081.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium;Hyphomicrobium sp. MC1;",0.0,2298.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;",425.0,457.0,1663.0,1666.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylobacteriaceae;Methylobacterium;",3479.0,3952.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;",2250.0,2743.0,3047.0,2483.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Phyllobacteriaceae;Mesorhizobium;",4560.0,5371.0,3427.0,3332.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;",1886.0,2115.0,1906.0,1883.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;",2182.0,2724.0,2055.0,1959.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Rhizobium/Agrobacterium group;Rhizobium;",2202.0,2707.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium/Ensifer group;",1774.0,863.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Sinorhizobium/Ensifer group;Sinorhizobium;",0.0,1554.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified Rhizobiales;",3465.0,2126.0,1865.0,1853.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;unclassified Rhizobiales;unclassified Rhizobiales (miscellaneous);",0.0,1728.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;",4941.0,5451.0,10681.0,9598.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;",11437.0,12808.0,20890.0,19282.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;",4222.0,4585.0,2897.0,2681.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;",2770.0,3160.0,1809.0,1809.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;",9754.0,11063.0,8049.0,7807.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;",2823.0,2784.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales;",1225.0,1353.0,834.0,2273.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;unclassified Rhodospirillales;unclassified Rhodospirillales (miscellaneous);",2076.0,2153.0,1595.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;",1556.0,1724.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;",4823.0,5720.0,3599.0,3312.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;",4943.0,5167.0,6143.0,5711.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Novosphingobium;",1537.0,1921.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;",4354.0,3987.0,1830.0,1684.0
"root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingopyxis;",1879.0,2192.0,0.0,0.0
