#Datasets,b1matches,b2matches,s1matches,s2matches
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Burkholderiales Genera incertae sedis;Methylibium;",0.0,0.0,4058.0,3425.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;Burkholderiales Genera incertae sedis;Mitsuaria;",3291.0,1644.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;unclassified Burkholderiales;unclassified Burkholderiales (miscellaneous);",2678.0,2645.0,3144.0,3188.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;",225.0,248.0,570.0,578.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;",2137.0,1981.0,1974.0,1926.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquaspirillum;",692.0,1649.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Aquaspirillum;Aquaspirillum sp. LM1;",1776.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;",2412.0,3187.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;",3022.0,3165.0,4516.0,4472.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;",1749.0,561.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera;",0.0,1551.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;",2440.0,2717.0,1150.0,1143.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas;",0.0,0.0,2894.0,2529.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;",4368.0,3870.0,14849.0,13752.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;",0.0,0.0,818.0,770.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas;",0.0,0.0,3043.0,2953.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;",2257.0,2292.0,1791.0,1769.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;",2784.0,2656.0,23891.0,21421.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus;",1754.0,1774.0,5091.0,4589.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;",7450.0,7187.0,40569.0,33388.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;Thauera sp. 27;",0.0,0.0,2183.0,1998.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera;Thauera sp. K11;",0.0,0.0,11459.0,8991.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;",31.0,41.0,461.0,448.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea;Zoogloea sp. LCSB751;",2268.0,1960.0,22857.0,22759.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;",182.0,163.0,390.0,386.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;Candidatus Accumulibacter;",2841.0,2959.0,2716.0,2559.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria (miscellaneous);",9352.0,7128.0,13782.0,13667.0
"root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;unclassified Betaproteobacteria;unclassified Betaproteobacteria (miscellaneous);Betaproteobacteria bacterium;",0.0,0.0,4251.0,3709.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;",164.0,149.0,1359.0,1522.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;",6406.0,5589.0,6008.0,6293.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;",1428.0,1569.0,3360.0,3490.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfobacterales;Desulfobacteraceae;",1917.0,2108.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;",442.0,409.0,317.0,312.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;",779.0,971.0,1689.0,1668.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;",4554.0,4744.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Desulfuromonadales;",1666.0,1650.0,1805.0,1896.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;",9259.0,7981.0,6233.0,6204.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Cystobacterineae;",3882.0,3326.0,3500.0,3502.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Cystobacterineae;Archangiaceae;",2492.0,2180.0,2393.0,2436.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Nannocystineae;",2237.0,1762.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;",4047.0,3643.0,3050.0,2953.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;",1161.0,998.0,1062.0,1052.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;Sorangium;",1.0,0.0,1.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;Polyangiaceae;Sorangium;Sorangium cellulosum;",2375.0,1983.0,2033.0,1928.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;Sandaracinaceae;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;Sandaracinaceae;Sandaracinus;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;Sorangiineae;Sandaracinaceae;Sandaracinus;Sandaracinus amylolyticus;",2995.0,2408.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;unclassified Myxococcales;",746.0,629.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Myxococcales;unclassified Myxococcales;unclassified Myxococcales (miscellaneous);",2876.0,2430.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;",723.0,1867.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;",537.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae;Desulfomonile;Desulfomonile tiedjei;",1628.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria;",179.0,258.0,39.0,42.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria;unclassified Deltaproteobacteria (miscellaneous);",5228.0,5570.0,4574.0,4764.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;unclassified Deltaproteobacteria;unclassified Deltaproteobacteria (miscellaneous);Deltaproteobacteria bacterium CG11_big_fil_rev_8_21_14_0_20_47_16;",2095.0,3469.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;",285.0,285.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;",796.0,780.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;",1392.0,1463.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter group;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter group;Arcobacter;",2856.0,3201.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;",53129.0,61219.0,31750.0,32151.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;",371.0,303.0,28.0,29.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;",889.0,953.0,493.0,495.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;",7657.0,6755.0,8281.0,10111.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Tolumonas;",4981.0,5468.0,2518.0,2622.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;",3373.0,2183.0,1829.0,1922.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;",0.0,1567.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;",2418.0,2000.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;",1650.0,3168.0,3055.0,1548.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;",1606.0,0.0,0.0,1551.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;",4742.0,5765.0,2093.0,2144.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;",6481.0,6991.0,2429.0,2464.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;",1096.0,1183.0,637.0,662.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;",2498.0,2878.0,4489.0,4867.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Yersinia;Yersinia intermedia;",0.0,0.0,1872.0,1940.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;",6662.0,7478.0,837.0,831.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae;",1746.0,2348.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;",18131.0,25715.0,1262.0,1296.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;",58117.0,78633.0,4489.0,4623.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella pneumophila;",4241.0,5443.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;Legionella sp.;",0.0,2433.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;unclassified Legionellales;",0.0,2004.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;",219.0,224.0,251.0,274.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;",2445.0,2652.0,3041.0,3124.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;",3456.0,3732.0,1764.0,1795.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;",579.0,699.0,276.0,293.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;",542.0,671.0,206.0,220.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;",9222.0,8546.0,1787.0,1920.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;Acinetobacter calcoaceticus/baumannii complex;",0.0,1823.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;",559.0,525.0,366.0,396.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;",12416.0,13137.0,8750.0,9313.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa group;",2010.0,2153.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;",1053.0,2611.0,923.0,946.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;",1871.0,0.0,513.0,545.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;Thiotrichaceae;Thiothrix;",0.0,0.0,1672.0,1658.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;unclassified Thiotrichales;",32.0,30.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;unclassified Thiotrichales;unclassified Thiotrichales (miscellaneous);",205.0,198.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;unclassified Thiotrichales;unclassified Thiotrichales (miscellaneous);Thiotrichales bacterium SG8_50;",3056.0,3544.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;",2526.0,2494.0,1059.0,1025.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;Candidatus Competibacteraceae;",0.0,0.0,786.0,784.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;Candidatus Competibacteraceae;Plasticicumulans;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;Candidatus Competibacteraceae;Plasticicumulans;Plasticicumulans acidivorans;",0.0,0.0,2085.0,1996.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria (miscellaneous);",12292.0,13038.0,3890.0,3864.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria (miscellaneous);Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_40_19;",0.0,2434.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;unclassified Gammaproteobacteria (miscellaneous);Gammaproteobacteria bacterium RIFCSPHIGHO2_12_FULL_63_22;",0.0,1577.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;",8.0,10.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;",1992.0,2370.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;",36322.0,46094.0,23658.0,21033.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;",6048.0,5668.0,4293.0,3966.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;",1256.0,1455.0,783.0,674.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Dokdonella;Dokdonella immobilis;",5467.0,7009.0,3409.0,3078.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Rhodanobacteraceae;Rhodanobacter;",0.0,1759.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;unclassified Xanthomonadales;",114.0,141.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;unclassified Xanthomonadales;Xanthomonadales bacterium 63-13;",2343.0,3042.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;",9689.0,10878.0,7284.0,6929.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas;",1747.0,2370.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter;",1714.0,2071.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;",1789.0,2281.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Xanthomonas;",1699.0,2038.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Oligoflexia;",1170.0,742.0,916.0,957.0
"root;cellular organisms;Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;",1244.0,2122.0,3026.0,3146.0
"root;cellular organisms;Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;Bdellovibrionaceae;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio;",5371.0,4450.0,5420.0,5625.0
"root;cellular organisms;Bacteria;Proteobacteria;Oligoflexia;Bdellovibrionales;unclassified Bdellovibrionales;",2021.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria;",2.0,0.0,3.0,2.0
"root;cellular organisms;Bacteria;Proteobacteria;unclassified Proteobacteria;unclassified Proteobacteria (miscellaneous);",2299.0,3044.0,1696.0,1637.0
"root;cellular organisms;Bacteria;PVC group;",20669.0,15943.0,24728.0,25248.0
"root;cellular organisms;Bacteria;PVC group;Candidatus Omnitrophica;",62.0,62.0,23.0,20.0
"root;cellular organisms;Bacteria;PVC group;Candidatus Omnitrophica;unclassified Candidatus Omnitrophica;",4382.0,4343.0,1119.0,1242.0
"root;cellular organisms;Bacteria;PVC group;Candidatus Omnitrophica;unclassified Candidatus Omnitrophica;Omnitrophica bacterium OLB16;",0.0,0.0,4745.0,4991.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;",4417.0,6646.0,1395.0,1526.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;",5065.0,6757.0,3322.0,3281.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;Parachlamydiales;",2902.0,4381.0,2051.0,1961.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;Parachlamydiales;Parachlamydiaceae;",4906.0,4762.0,3753.0,4215.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;Parachlamydiales;Parachlamydiaceae;Candidatus Protochlamydia;",4231.0,4488.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;Chlamydiia;Parachlamydiales;Parachlamydiaceae;Parachlamydia;",1537.0,1899.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;unclassified Chlamydiae;",5721.0,7096.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;unclassified Chlamydiae;Chlamydiae bacterium CG10_big_fil_rev_8_21_14_0_10_42_34;",2522.0,4108.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Chlamydiae;unclassified Chlamydiae;Chlamydiae bacterium RIFCSPHIGHO2_12_FULL_49_9;",0.0,1538.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Lentisphaerae;",371.0,335.0,1210.0,1252.0
"root;cellular organisms;Bacteria;PVC group;Lentisphaerae;unclassified Lentisphaerae;",9.0,9.0,22.0,14.0
"root;cellular organisms;Bacteria;PVC group;Lentisphaerae;unclassified Lentisphaerae;unclassified Lentisphaerae (miscellaneous);",1974.0,1748.0,3592.0,3871.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;",21497.0,14528.0,24521.0,25590.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Phycisphaerae;",1865.0,1885.0,791.0,724.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Phycisphaerae;Phycisphaerales;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;",0.0,0.0,231.0,223.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Phycisphaera;",0.0,0.0,2045.0,1930.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;",12013.0,7859.0,13166.0,13836.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;",34531.0,17752.0,30843.0,31469.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;",7399.0,2926.0,6694.0,6901.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Fimbriiglobus;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Fimbriiglobus;Fimbriiglobus ruber;",4256.0,2005.0,3933.0,3829.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;",2608.0,3621.0,4103.0,4174.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;Gemmata obscuriglobus;",1855.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Gemmata;Gemmata sp. SH-PL17;",2381.0,0.0,1787.0,1883.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Zavarzinella;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Gemmataceae;Zavarzinella;Zavarzinella formosa;",3267.0,1697.0,1986.0,2018.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae;",1742.0,967.0,1631.0,1785.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Isosphaeraceae;Singulisphaera;",3466.0,1830.0,2581.0,2635.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;",31233.0,23235.0,38977.0,38981.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Blastopirellula;",1757.0,1227.0,1840.0,2013.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Blastopirellula;Blastopirellula marina;",3128.0,2286.0,3384.0,3577.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia;Gimesia maris;",0.0,0.0,1603.0,1682.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Pirellula;",921.0,1804.0,1130.0,1113.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Pirellula;Pirellula staleyi;",1588.0,0.0,1759.0,1855.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomicrobium;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomicrobium;Planctomicrobium piriforme;",2263.0,0.0,3267.0,3394.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomyces;",902.0,1943.0,1143.0,1140.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctomyces;Planctomyces sp. SH-PL14;",1792.0,0.0,2487.0,2517.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Rhodopirellula;",2761.0,2058.0,3966.0,3959.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Schlesneria;",0.0,0.0,0.0,0.0
"root;cellular organisms;Bacteria;PVC group;Planctomycetes;Planctomycetia;Planctomycetales;Planctomycetaceae;Schlesneria;Schlesneria paludicola;",5761.0,5520.0,10894.0,10142.0
